,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,water_left_01,dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,,,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_01,dirty_bottom_01,dirty_bottom_left_01,petrol_vertical_01,water_bottom_right_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_left_01,petrol_vertical_01,water_right_01,water_bottom_01,water_bottom_01,water_bottom_01,water_river_horizontal_01,water_top_01,water_top_left_01,petrol_vertical_01,water_right_01,water_01,water_01,water_01,water_01,,,,,,,,,,,,,,,,,water_01,water_01,water_01,water_01,water_01,,water_left_01,dirty_right_01,dirty_01,dirty_01,@,@,@,@,@,@,@,@,door_02_close,@,@,door_02_close,@,@,@,@,@,@,@,@,,road_left_01,road_left_01,,road_right_01,,factory_industrial_part_top,
,,,water_left_01,dirty_right_01,,dirty_01,,misc_barrel,misc_barrel,,dirty_left_01,petrol_bottom_right_01,petrol_horizontal_01,petrol_horizontal_01,stair_top,petrol_horizontal_01,petrol_horizontal_01,petrol_cross,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_vertical_left_01,water_river_vertical_01,petrol_bottom_right_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_bottom_left_01,water_bottom_right_01,water_left_01,petrol_vertical_01,water_right_01,water_01,water_01,water_01,water_01,,,,,,,,,,,,,,,,,water_01,water_01,water_01,water_01,water_01,,water_left_01,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,@,factory_industrial_part_top,factory_industrial_part_left,military_crate,,military_crate,,,,@,house_bed_right,,house_bed_left,@,house_shink,house_stove,house_cupboard_01,house_fridge,house_table,@,,road_left_01,road_left_01,,road_right_01,,factory_industrial_part_top,
,,,water_left_01,dirty_right_01,,,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,petrol_vertical_01,dirty_top_right_01,dirty_top_01,dirty_01,dirty_top_01,dirty_top_left_01,petrol_top_right_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_bottom_left_01,water_top_right_01,water_top_01,water_top_01,water_top_01,water_bottom_left_01,petrol_bottom_right_01,petrol_top_left_01,water_river_vertical_01,petrol_vertical_01,water_top_right_01,water_top_left_01,petrol_top_right_01,petrol_bottom_left_01,water_bottom_left_01,petrol_vertical_01,water_right_01,water_01,water_01,water_01,water_01,,,,,,,,,,,,,,,,,water_01,water_01,water_01,water_01,water_01,,water_01,water_top_01,water_top_01,water_top_01,@,factory_industrial_part_left,factory_industrial_part_top,military_crate,,,bg,,,@,house_wardrobe,,,,,,,,house_bench,@,,road_left_01,road_left_01,,road_right_01,,factory_industrial_part_top,
,water_bottom_01,water_bottom_01,water_bottom_left_01,dirty_right_01,,dirty_left_01,petrol_bottom_right_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_vertical_left_01,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_bottom_01,dirty_top_left_01,petrol_vertical_01,water_right_01,,,water_left_01,petrol_bottom_right_01,petrol_top_left_01,water_top_right_01,water_left_01,petrol_vertical_01,water_right_01,water_01,water_top_left_01,petrol_top_right_01,petrol_bottom_left_01,petrol_vertical_01,water_right_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,,,@,factory_industrial_part_top_02,factory_industrial_part_left_02,misc_chainwheel_left_right,factory_industrial_pipe_holder,factory_industrial_pipe_left,,,,@,house_bed_right,bg,house_bed_left,@,@,@,@,bg,house_table,@,,road_left_01,road_left_01,,road_right_01,,factory_industrial_part_top,
water_left_01,dirty_top_right_01,dirty_top_01,dirty_top_01,,misc_barrel,dirty_left_01,petrol_vertical_01,dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_left_01,petrol_top_right_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_bottom_left_01,dirty_bottom_right_01,dirty_left_01,petrol_vertical_01,water_right_01,,,water_left_01,petrol_vertical_01,water_top_right_01,,water_left_01,petrol_vertical_01,water_right_01,water_01,water_01,water_top_left_01,petrol_top_right_01,petrol_top_left_01,water_right_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_bottom_01,@,misc_chain_top,factory_industrial_part_left_02,misc_chainwheel_left_right,factory_industrial_pipe_valve,factory_industrial_part_left_02,,,,@,house_wardrobe,,,@,house_toilet_right,house_bath_left,@,bg,house_bench,@,,road_left_01,road_left_01,,road_right_01,,factory_industrial_part_top,
water_left_01,dirty_right_01,,,,misc_barrel,dirty_left_01,petrol_vertical_01,dirty_river_vertical_right_01,dirty_bottom_01,dirty_bottom_01,dirty_river_horizontal_top_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_bottom_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_left_01,petrol_top_right_01,petrol_bottom_left_01,dirty_bottom_right_01,petrol_vertical_01,water_right_01,,,water_left_01,petrol_vertical_01,water_right_01,,water_left_01,petrol_vertical_01,water_bottom_right_01,water_01,water_01,water_01,water_top_01,water_top_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_left_01,dirty_top_right_01,@,misc_chain_top,misc_hook,outside_metal_fence_1,factory_industrial_pipe_right,factory_industrial_pipe_valve,,,,@,house_bed_right,,house_bed_left,@,,,,,,@,,road_left_01,road_left_01,,road_right_01,,factory_industrial_part_top,
water_left_01,dirty_right_01,,,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,petrol_vertical_01,dirty_river_vertical_01,petrol_full_top_right_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_full_top_left_01,dirty_right_01,factory_industrial_pipe_left,factory_industrial_pipe_middle,factory_industrial_pipe_valve,factory_industrial_pipe_middle,factory_industrial_pipe_right,,dirty_top_left_01,petrol_top_right_01,petrol_bottom_left_01,petrol_vertical_01,water_bottom_right_01,water_bottom_01,water_bottom_01,water_bottom_left_01,petrol_vertical_01,water_right_01,,water_left_01,petrol_top_right_01,petrol_bottom_left_01,water_bottom_right_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_left_01,dirty_right_01,@,@,@,@,@,@,@,,,@,@,door_02_close,@,@,@,@,@,@,@,@,factory_industrial_part_left,road_left_01,road_left_01,bg,road_right_01,factory_industrial_part_left,factory_industrial_part_left,
water_left_01,dirty_right_01,,dirty_left_01,petrol_full_top_right_01,petrol_top_01,petrol_top_01,petrol_01,petrol_top_01,,,,,,petrol_left_01,dirty_right_01,factory_industrial_pipe_left,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_valve,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_right,dirty_top_left_01,petrol_top_right_01,petrol_cross,petrol_horizontal_middle_01,petrol_horizontal_bottom_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_top_left_01,water_right_01,,water_01,water_top_left_01,petrol_top_right_01,petrol_bottom_left_01,water_bottom_right_01,water_bottom_01,water_bottom_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_left_01,dirty_right_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,@,,,@,crate,,@,military_crate,military_crate,military_crate,military_crate,military_crate,military_crate,@,outside_metal_fence_1,road_left_01,road_left_01,,road_right_01,outside_metal_fence_1,factory_industrial_part_top,
water_left_01,dirty_right_01,,dirty_left_01,petrol_right_01,,,,,,,,,,petrol_left_01,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,petrol_bottom_right_01,petrol_top_left_01,dirty_river_vertical_01,petrol_top_right_01,petrol_bottom_left_01,water_bottom_right_01,water_top_01,water_bottom_01,water_bottom_01,water_bottom_01,water_01,water_top_left_01,petrol_top_right_01,petrol_horizontal_middle_01,petrol_horizontal_middle_01,petrol_bottom_left_01,water_right_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_left_01,dirty_right_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,@,,,@,@,door_02_close,@,door_02_open,door_02_open,door_02_open,door_02_open,door_02_open,door_02_open,@,factory_industrial_part_left,road_left_01,road_left_01,bg,road_right_01,factory_industrial_part_left,factory_industrial_part_left,
water_left_01,dirty_right_01,,dirty_left_01,petrol_right_01,,,,,,,,,,petrol_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_horizontal_01,petrol_top_left_01,dirty_top_right_01,,dirty_top_left_01,petrol_top_right_01,petrol_bottom_left_01,water_bottom_left_01,,,,water_right_01,,water_top_01,water_top_01,water_top_left_01,petrol_vertical_01,water_right_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,,,@,road_curve_top_01,road_top_01,road_top_01,road_top_01,road_top_01,road_top_01,road_top_01,road_top_01,road_top_01,road_top_01,road_top_01,,road_left_01,,road_right_01,,factory_industrial_part_top,
water_left_01,dirty_right_01,dirty_01,dirty_left_01,petrol_right_01,,,,,,,,,,petrol_left_01,dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,,,,dirty_left_01,petrol_vertical_01,dirty_right_01,,,,@,@,@,,water_left_01,petrol_vertical_01,water_right_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_bottom_01,water_bottom_01,water_bottom_01,water_bottom_01,@,factory_industrial_pipe_valve,@,factory_industrial_pipe_valve,factory_industrial_pipe_valve,factory_industrial_pipe_valve,factory_industrial_pipe_valve,factory_industrial_pipe_valve,factory_industrial_pipe_valve,factory_industrial_pipe_valve,factory_industrial_pipe_valve,factory_industrial_pipe_valve,factory_industrial_pipe_valve,factory_industrial_pipe_valve,factory_industrial_pipe_valve,factory_industrial_pipe_valve,factory_industrial_pipe_valve,factory_industrial_pipe_right,@,,,@,road_left_01,road_curve_top_01,road_top_01,road_top_01,road_top_01,road_top_01,road_top_01,road_top_01,road_top_01,road_top_01,road_top_01,road_top_01,,,road_right_01,,factory_industrial_part_top,
water_left_01,dirty_right_01,,dirty_left_01,petrol_right_01,,,,,,,,,,petrol_full_bottom_left_01,dirty_right_01,factory_industrial_pipe_left,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_right,,outside_metal_fence_1,,,,,,,dirty_left_01,petrol_vertical_01,dirty_right_01,,,,@,[1],@,@,@,@,@,@,@,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_01,water_left_01,petrol_full_top_right_01,petrol_top_01,petrol_top_01,petrol_top_01,@,,outside_metal_door_01_open,,,,,,,,bg,,,,,,house_bench,misc_barrel,@,,,@,road_left_01,road_left_01,,,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_bottom_01,road_curve_right_01,,factory_industrial_part_top,
water_left_01,dirty_right_01,,dirty_left_01,petrol_right_01,,,,,,,petrol_bottom_01,petrol_bottom_01,petrol_full_bottom_left_01,dirty_top_right_01,,factory_industrial_pipe_left,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_right,,outside_metal_door_01_close,,,dirty_01,,,,dirty_left_01,petrol_vertical_01,dirty_right_01,,,,@,bg,@,misc_chain_top,misc_chain_top,outside_metal_fence_1,garden_dirty_1,misc_chainwheel_left_right,@,@,@,@,@,@,@,@,@,@,@,@,@,@,petrol_right_01,@,@,@,@,outside_metal_door_01_close,@,@,misc_barrel,misc_barrel,misc_barrel,misc_barrel,misc_barrel,misc_barrel,misc_barrel,misc_barrel,misc_barrel,misc_barrel,misc_barrel,misc_barrel,misc_barrel,misc_barrel,@,,,@,road_left_01,road_left_01,,road_right_01,factory_industrial_part_top,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,factory_industrial_part_left,
water_left_01,dirty_right_01,,dirty_left_01,petrol_right_01,,,,,,petrol_left_01,dirty_top_right_01,dirty_top_01,dirty_top_01,,,factory_industrial_pipe_left,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_right,,outside_metal_fence_1,dirty_01,dirty_01,dirty_01,,,,dirty_left_01,petrol_vertical_01,dirty_right_01,,,,@,door_02_open,@,misc_hook,misc_hook,factory_industrial_part_left_02,outside_metal_fence_1,misc_chainwheel_left_right,@,crate,misc_barrel,misc_barrel,misc_barrel,outside_metal_fence_1,,garden_dirty_1,,,,,garden_dirty_1,@,petrol_right_01,@,factory_industrial_pipe_right,misc_barrel,@,,garden_dirty_2,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,,,@,road_left_01,road_left_01,bg,road_right_01,factory_industrial_part_top,,,,,,,,,,,,,
water_left_01,dirty_right_01,,dirty_left_01,petrol_full_right_01,petrol_bottom_01,petrol_bottom_01,petrol_bottom_01,petrol_bottom_01,petrol_bottom_01,petrol_full_bottom_left_01,dirty_right_01,misc_chainwheel_left_right,misc_chainwheel_left_right,misc_chainwheel_left_right,,,,,,,,,,,,,,dirty_left_01,petrol_vertical_01,dirty_right_01,,,,outside_metal_door_01_close,bg,bg,bg,bg,bg,bg,bg,door_02_close,bg,bg,bg,bg,outside_metal_door_01_close,,,,,,,,@,petrol_right_01,@,factory_industrial_pipe_right,,outside_metal_door_01_close,,,outside_metal_door_01_close,,,,,,,,,,,,,,,,,bg,@,road_left_01,road_left_01,,road_right_01,factory_industrial_part_top,,,,,,,,,,,,,
water_left_01,dirty_right_01,,,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,,,,,,,,misc_chainwheel_left_right,misc_chainwheel_left_right,,,factory_industrial_part_left_02,[1],dirty_01,,,,dirty_left_01,petrol_vertical_01,dirty_right_01,,,,@,bg,garden_stone,bg,bg,bg,misc_blood,misc_dead,@,bg,bg,bg,bg,outside_metal_fence_1,,,,,garden_dirty_1,,,@,petrol_right_01,@,factory_industrial_pipe_right,,@,,house_bench,@,factory_industrial_pipe_left,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_holder,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_holder,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_valve,factory_industrial_pipe_middle,factory_industrial_pipe_right,,@,road_left_01,road_left_01,,road_right_01,factory_industrial_part_top,,,,,,,,,,,,,
water_left_01,dirty_right_01,,,,,,,,,,,,,,,,,,,dirty_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,petrol_vertical_01,dirty_bottom_right_01,,,,@,garden_dirty_2,factory_industrial_pipe_left,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_holder,@,@,@,@,@,@,@,@,@,@,@,petrol_full_top_left_01,,@,petrol_right_01,@,@,@,@,outside_metal_door_01_close,,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,@,outside_metal_door_01_close,@,road_curve_left_01,road_sewer_bottom_01,road_sewer_bottom_01,road_curve_right_01,@,@,@,@,@,@,@,@,@,@,@,,,
water_left_01,dirty_right_01,,,,,,,,,,,,,,,,,,,dirty_left_01,petrol_full_top_right_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_01,petrol_full_top_left_01,dirty_right_01,,,@,@,@,@,@,@,@,@,@,dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_left_01,@,petrol_left_01,,@,petrol_right_01,@,factory_industrial_pipe_right,,@,,factory_industrial_pipe_left,@,petrol_full_top_right_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_full_top_left_01,@,misc_barrel,,,,,,,,petrol_full_top_right_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,petrol_top_01,@,petrol_full_top_left_01,,
water_left_01,dirty_right_01,,,,,,,,,,,,,,,,,,,dirty_left_01,petrol_right_01,,,,,,,,,petrol_left_01,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,,,,,,,,,dirty_left_01,@,petrol_left_01,,@,petrol_right_01,@,factory_industrial_pipe_right,,outside_metal_door_01_close,,factory_industrial_pipe_left,@,petrol_right_01,petrol_01,petrol_01,petrol_01,petrol_01,petrol_01,petrol_01,petrol_01,petrol_01,petrol_01,petrol_01,petrol_01,petrol_01,petrol_left_01,@,misc_barrel,,,factory_industrial_pipe_left,factory_industrial_pipe_valve,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_holder,petrol_right_01,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_holder,factory_industrial_pipe_middle,factory_industrial_pipe_middle,factory_industrial_pipe_right,,,@,petrol_left_01,,
